Time [s],Channel 0
0.459239840,0
0.459241920,1
0.459243160,0
0.459245240,1
0.459246480,0
0.459248560,1
0.459249840,0
0.459251920,1
0.459253160,0
0.459255240,1
0.459256480,0
0.459258560,1
0.459259840,0
0.459261920,1
0.459263160,0
0.459265240,1
0.459266480,0
0.459268560,1
0.459269840,0
0.459271920,1
0.459273160,0
0.459275240,1
0.459276480,0
0.459278560,1
0.459279840,0
0.459281920,1
0.459283160,0
0.463292640,1
0.463293920,0
0.463296000,1
0.463297240,0
0.463299320,1
0.463300560,0
0.463302640,1
0.463303920,0
0.463306000,1
0.463307240,0
0.463309320,1
0.463310560,0
0.463312640,1
0.463313920,0
0.463316000,1
0.463317240,0
0.463319320,1
0.463320560,0
0.463322640,1
0.463323920,0
0.463326000,1
0.463327240,0
0.463329320,1
0.463330560,0
0.463332640,1
0.463333920,0
0.463336000,1
0.463337240,0
0.463339320,1
0.463340560,0
0.463342640,1
0.463343920,0
0.467310720,1
0.467311960,0
0.467314040,1
0.467315320,0
0.467317400,1
0.467318640,0
0.467320720,1
0.467321960,0
0.467324040,1
0.467325320,0
0.467327400,1
0.467328640,0
0.467330720,1
0.467331960,0
0.467334040,1
0.467335320,0
0.467337400,1
0.467338640,0
0.467340720,1
0.467341960,0
0.467344040,1
0.467345320,0
0.467347400,1
0.467348640,0
0.467350720,1
0.467351960,0
0.467354040,1
0.467355320,0
0.467357400,1
0.467358640,0
0.467360720,1
0.467361960,0
0.471155040,1
0.471156320,0
0.471158400,1
0.471159640,0
0.471161720,1
0.471162960,0
0.471165040,1
0.471166320,0
0.471168400,1
0.471169640,0
0.471171720,1
0.471172960,0
0.471175040,1
0.471176320,0
0.471178400,1
0.471179640,0
0.471181720,1
0.471182960,0
0.471185040,1
0.471186320,0
0.471188400,1
0.471189640,0
0.471191720,1
0.471192960,0
0.471195040,1
0.471196320,0
0.471198400,1
0.471199640,0
0.471201720,1
0.471202960,0
0.471205040,1
0.471206320,0
0.475229760,1
0.475231000,0
0.475233080,1
0.475234360,0
0.475236440,1
0.475237680,0
0.475239760,1
0.475241000,0
0.475243080,1
0.475244360,0
0.475246440,1
0.475247680,0
0.475249760,1
0.475251000,0
0.475253080,1
0.475254360,0
0.475256440,1
0.475257680,0
0.475259760,1
0.475261000,0
0.475263080,1
0.475264360,0
0.475266440,1
0.475267680,0
0.475269760,1
0.475271000,0
0.475273080,1
0.475274360,0
0.475276440,1
0.475277680,0
0.475279760,1
0.475281000,0
0.479980960,1
0.479982200,0
0.479984280,1
0.479985560,0
0.479987640,1
0.479988880,0
0.479990960,1
0.479992200,0
0.479994280,1
0.479995560,0
0.479997640,1
0.479998880,0
0.480000960,1
0.480002200,0
0.480004280,1
0.480005560,0
0.480007640,1
0.480008880,0
0.480010960,1
0.480012200,0
0.480014280,1
0.480015560,0
0.480017640,1
0.480018880,0
0.480020960,1
0.480022200,0
0.480024280,1
0.480025560,0
0.480027640,1
0.480028880,0
0.480030960,1
0.480032200,0
0.483309520,1
0.483310760,0
0.483312840,1
0.483314080,0
0.483316160,1
0.483317440,0
0.483319520,1
0.483320760,0
0.483322840,1
0.483324080,0
0.483326160,1
0.483327440,0
0.483329520,1
0.483330760,0
0.483332840,1
0.483334080,0
0.483336160,1
0.483337440,0
0.483339520,1
0.483340760,0
0.483342840,1
0.483344080,0
0.483346160,1
0.483347440,0
0.483349520,1
0.483350760,0
0.483352840,1
0.483354080,0
0.483356160,1
0.483357440,0
0.483359520,1
0.483360760,0
0.487291480,1
0.487292720,0
0.487294800,1
0.487296080,0
0.487298160,1
0.487299400,0
0.487301480,1
0.487302720,0
0.487304800,1
0.487306080,0
0.487308160,1
0.487309400,0
0.487311480,1
0.487312720,0
0.487314800,1
0.487316080,0
0.487318160,1
0.487319400,0
0.487321480,1
0.487322720,0
0.487324800,1
0.487326080,0
0.487328120,1
0.487329400,0
0.487331480,1
0.487332720,0
0.487334800,1
0.487336080,0
0.487338120,1
0.487339400,0
0.487341480,1
0.487342720,0
0.491091440,1
0.491092720,0
0.491094800,1
0.491096040,0
0.491098120,1
0.491099360,0
0.491101440,1
0.491102720,0
0.491104800,1
0.491106040,0
0.491108120,1
0.491109360,0
0.491111440,1
0.491112720,0
0.491114800,1
0.491116040,0
0.491118120,1
0.491119360,0
0.491121440,1
0.491122720,0
0.491124800,1
0.491126040,0
0.491128120,1
0.491129360,0
0.491131440,1
0.491132720,0
0.491134800,1
0.491136040,0
0.491138120,1
0.491139360,0
0.491141440,1
0.491142720,0
0.495289440,1
0.495290680,0
0.495292760,1
0.495294040,0
0.495296120,1
0.495297360,0
0.495299440,1
0.495300680,0
0.495302760,1
0.495304040,0
0.495306120,1
0.495307360,0
0.495309440,1
0.495310680,0
0.495312760,1
0.495314040,0
0.495316120,1
0.495317360,0
0.495319440,1
0.495320680,0
0.495322760,1
0.495324040,0
0.495326120,1
0.495327360,0
0.495329440,1
0.495330680,0
0.495332760,1
0.495334040,0
0.495336120,1
0.495337360,0
0.495339440,1
0.495340680,0
0.499309760,1
0.499311040,0
0.499313120,1
0.499314360,0
0.499316440,1
0.499317680,0
0.499319760,1
0.499321040,0
0.499323120,1
0.499324360,0
0.499326440,1
0.499327680,0
0.499329760,1
0.499331040,0
0.499333120,1
0.499334360,0
0.499336440,1
0.499337680,0
0.499339760,1
0.499341040,0
0.499343120,1
0.499344360,0
0.499346440,1
0.499347680,0
0.499349760,1
0.499351040,0
0.499353120,1
0.499354360,0
0.499356440,1
0.499357680,0
0.499359760,1
0.499361040,0
0.503290920,1
0.503292160,0
0.503294240,1
0.503295520,0
0.503297560,1
0.503298840,0
0.503300920,1
0.503302160,0
0.503304240,1
0.503305520,0
0.503307560,1
0.503308840,0
0.503310920,1
0.503312160,0
0.503314240,1
0.503315520,0
0.503317560,1
0.503318840,0
0.503320920,1
0.503322160,0
0.503324240,1
0.503325520,0
0.503327560,1
0.503328840,0
0.503330920,1
0.503332160,0
0.503334240,1
0.503335520,0
0.503337560,1
0.503338840,0
0.503340920,1
0.503342160,0
0.507227360,1
0.507228640,0
0.507230680,1
0.507231960,0
0.507234040,1
0.507235280,0
0.507237360,1
0.507238640,0
0.507240680,1
0.507241960,0
0.507244040,1
0.507245280,0
0.507247360,1
0.507248640,0
0.507250680,1
0.507251960,0
0.507254040,1
0.507255280,0
0.507257360,1
0.507258640,0
0.507260680,1
0.507261960,0
0.507264040,1
0.507265280,0
0.507267360,1
0.507268640,0
0.507270680,1
0.507271960,0
0.507274040,1
0.507275280,0
0.507277360,1
0.507278640,0
0.511155120,1
0.511156400,0
0.511158480,1
0.511159720,0
0.511161800,1
